movieCode,title,year,release_date,description,genre,director,grade,actors,poster_path,backdrop_path,youtube_url,rate
20199448,어린 의뢰인,2019,2019-05-22,인생 최대 목표는 오직 성공뿐인 변호사 ‘정엽’. 주변에 무관심한 그에게 ‘다빈’과 ‘민준’ 남매가 자꾸 귀찮게 얽힌다. 오랫동안 기다렸던 대형 로펌 합격 소식을 듣게 된 ‘정엽’은 믿을 수 없는 사실을 알게 된다. 10살 소녀 ‘다빈’이 7살 남동생을 죽였다는 충격적인 자백. 뒤늦게 미안함을 느낀 ‘정엽’은 자신의 모든 것을 걸고 ‘다빈’의 엄마 ‘지숙’에게 숨겨진 진실을 밝히려고 하는데…,3,장규성,12세이상관람가,"['이동휘', '유선', '최명빈', '이주원', '고수희', '서정연', '원현준', '이나라', '정준원', '이현균', '이지훈', '이로운', '이봄', '정희태', '양희원', '장정연']",https://image.tmdb.org/t/p/w780//tBjIL4jBbHstVvWvCXV7AjZaggR.jpg,https://image.tmdb.org/t/p/original//AanMz10xtFlgIeZpsQsi9hfEUuG.jpg,https://www.youtube.com/embed/T_35Dkz9al8,9.02
20198597,교회오빠,2019,2019-05-16,"딸 아이를 출산하고, 산후조리원에서 나오는 날 들려온 남편의 4기 대장암 소식, 갑작스러운 어머니의 죽음, 항암치료가 종료된 지 일주일도 채 안되어 알게 된 아내의 4기 혈액암… 잠시도 숨 쉴 틈 없이 밀려오는 고난에 부부는 깊은 탄식과 함께 기도로 매달리는 것밖에는 할 수 없었다. 마치 '욥'과도 같은 인생. 이해할 수조차 없는 기막힌 상황에도 남편 이관희는 그 누구도 원망하지 않고 절대로 '주님'에 대한 신뢰를 거두지 않았다. 삶과 죽음의 경계에 서 있는 그는 무엇을 바라보았을까. 어떻게 그런 고백을 할 수 있었을까. 하루라도 더 '온전한' 삶을 살기 위해 몸부림쳐갔던 이관희 집사의 순전한 믿음이 스크린을 통해서 펼쳐진다.",14,이호경,전체관람가,"['이관희', '오은주', '이소연']",https://image.tmdb.org/t/p/w780//z7S7SqsSgdx8IprKs2T7LqoDHCF.jpg,https://image.tmdb.org/t/p/original//dlPvO2YK8pvuAdZc8pJR3W7EV1B.jpg,,9.27
20199822,더 보이,2019,2016-01-22,"그레타(로렌 코핸)는 어두운 과거에서 벗어나 새 출발을 하기 위해 외딴 마을의 대저택에 유모로 들어간다.  그러나 노부부(짐 노튼&다이아나 하드캐슬)가 아들 브람스라며 소개한 건 소년 인형.  장난이라는 의심과 달리 부부는 너무나 진지한 태도로 인형을 대하고, 심지어 10가지 규칙을 꼭 지켜야 한다고 당부한 후 여행을 떠난다.  대저택에 인형 브람스와 단둘이 남게 된 그레타는 자꾸만 일어나는 기이한 사건들을 겪으며 점점 인형이 살아있다고 믿게 되는데…",2,데이빗 야로베스키,15세이상관람가,"['잭슨 A. 던', '엘리자베스 뱅크스', '데이빗 덴맨']",https://image.tmdb.org/t/p/w780//rqgFqbYeth6TilCvh697rvCqWku.jpg,https://image.tmdb.org/t/p/original//aOvgn3E5OjJDepApd1WtS2doqMF.jpg,,4.89
20187981,배심원들,2019,2019-05-15,"국민이 참여하는 역사상 최초의 재판이 열리는 날. 모두의 이목이 집중된 가운데, 나이도 직업도 제각각인 8명의 보통 사람들이 배심원단으로 선정된다. 대한민국 첫 배심원이 된 그들 앞에 놓인 사건은 증거, 증언, 자백도 확실한 살해 사건. 양형 결정만 남아있던 재판이었지만 피고인이 갑자기 혐의를 부인하며 배심원들은 예정에 없던 유무죄를 다투게 된다. 생애 처음 누군가의 죄를 심판해야 하는 배심원들과 사상 처음으로 일반인들과 재판을 함께해야 하는 재판부. 모두가 난감한 상황 속 원칙주의자인 재판장 ‘준겸’(문소리)은 정확하고 신속하게 재판을 끌어가려고 한다. 하지만 끈질기게 질문과 문제 제기를 일삼는 8번 배심원 ‘남우’(박형식)를 비롯한 배심원들의 돌발 행동에 재판은 점점 예기치 못한 방향으로 흐르는데...",3,홍승완,12세이상관람가,"['문소리', '박형식', '백수장', '김미경', '윤경호', '서정연', '조한철', '김홍파', '조수향', '권해효', '태인호', '이해운', '서진원', '이영진', '최영우', '서현우', '이용이', '심달기', '유순웅', '김학선', '고서희', '정도원', '염동헌', '이서준', '김선영', '이규형']",https://image.tmdb.org/t/p/w780//7RGciFoNF8E5kA6dGDFABW7qK1Z.jpg,https://image.tmdb.org/t/p/original//tseYcE382x1goVptRC62AHUG9xX.jpg,https://www.youtube.com/embed/AsrZkNhXVfw,0.00
20198598,명탐정 피카츄,2019,2019-05-03,"기억을 잃은 채 깨어난 피카츄, 난 누구? 여긴 어디? 유일한 단서는 탐정모자에 적힌 해리란 이름과 주소. 주소 속 아파트에서 자신의 말을 유일하게 알아 듣는, 실종된 해리의 아들 팀 굿맨을 만나게 된다. 명탐정의 촉으로 이건 그야말로 대.박.사.건! 사라진 아빠를 찾기 위해 피카츄와 떠나는 기상천외한 모험이 시작된다. 피카피카!",8,롭 레터맨,전체관람가,"['라이언 레이놀즈', '저스티스 스미스', '캐서린 뉴튼', '수키 워터하우스', '빌 나이', '와타나베 켄']",https://image.tmdb.org/t/p/w780//8Vb7PJ2aUzel5iQ6R2Jxe4MTWac.jpg,https://image.tmdb.org/t/p/original//nDP33LmQwNsnPv29GQazz59HjJI.jpg,https://www.youtube.com/embed/iY50AnMvuio,8.09
20185784,나의 특별한 형제,2018,2019-05-01,"비상한 두뇌를 가졌지만 동생 '동구' 없이는 아무 데도 못 가는 형 '세하'(신하균), 뛰어난 수영실력을 갖췄지만 형 '세하' 없이는 아무것도 못 하는 동생 '동구'(이광수). 이들은 피 한 방울 섞이지 않았지만 20년 동안 한 몸처럼 살아온 '특별한 형제'다. 어느 날 형제의 보금자리 '책임의 집'을 운영하던 신부님이 돌아가시자 모든 지원금이 끊기게 되고, 각각 다른 장애를 가진 두 사람은 헤어질 위기에 처하고 만다. 세하는 '책임의 집'을 지키고 동구와 떨어지지 않기 위해 구청 수영장 알바생이자 취준생 '미현'(이솜)을 수영코치로 영입하고, 동구를 수영대회에 출전시켜 사람들의 이목을 집중시키는 데 성공한다. 헤어지지 않을 수 있다는 희망을 본 것도 잠시, 예상치 못한 인물이 형제 앞에 등장하면서 형제는 새로운 위기를 겪게 되는데...",3,육상효,12세이상관람가,"['신하균', '이광수', '이솜', '박철민', '권해효', '길해연', '양소민', '배명진', '김자영', '김한나']",https://image.tmdb.org/t/p/w780//4LvhaLpA2pQAPQGVEUjc0vhEXGe.jpg,https://image.tmdb.org/t/p/original//eNQLc072eu0ttmfJYx7Xhrc3iHS.jpg,https://www.youtube.com/embed/m6FNMV_FnIs,8.91
20198183,뽀로로 극장판 보물섬 대모험,2019,2019-02-01,"떠나자, 보물섬으로~!  뽀로로와 친구들의 스펙터클 보물찾기 어드벤처! 전설 속 보물을 찾아 떠난 뽀로로와 친구들은 우연히 손에 넣은 지도를 따라 신비의 보물섬에 도착한다.  그곳에서 사라진 실버 선장을 만나 비밀을 간직한 보물섬의 수수께끼를 풀어내지만, 악당 블랙 선장과 보물섬의 괴물로 인해 위기에 빠지는데... 과연 뽀로로와 친구들은 전설의 보물을 찾을 수 있을까?",12,김현호,전체관람가,"['이선', '이미자', '김현지', '홍소영', '정미숙', '김서영', '김환진', '남도형', '정승욱', '이장원', '황창영']",https://image.tmdb.org/t/p/w780//3iy8XN5nlCewKP9YGlNEuHOo8dq.jpg,https://image.tmdb.org/t/p/original//t40Nr7RaIWFCWqQJOfttXA9KezF.jpg,https://www.youtube.com/embed/Tk2wVhOV5NA,9.28
20185384,호텔 뭄바이,2018,2019-03-14,100여 년 전통의 아름다운 초호화 호텔 타지는 오늘도 전 세계에서 온 수백 명의 사람들과 직원들로 북적인다. 다양한 사람들이 호텔 안에서 저녁시간을 보내던 그 때 거대한 폭발음이 들리고 혼비백산한 인파가 호텔로 몰려온다. 그리고 그들과 함께 커다란 배낭을 멘 젊은 청년 몇몇이 호텔로 들어오는데…,7,앤소니 마라스,15세이상관람가,"['데브 파텔', '아미 해머', '나자닌 보니아디', '제이슨 아이삭스', '아누팜 커']",https://image.tmdb.org/t/p/w780//h9AOgs7GKNJLdvoNPkmJOFB3I7H.jpg,https://image.tmdb.org/t/p/original//wHCV3lRhjdAamxKjKIF5rqMRqwu.jpg,,9.09
20197503,서스페리아,2018,1977-02-01,"독일의 유명한 발레 학교로 유학 온 미국인 소녀 수지는 도착 첫날 밤, 겁에 질려 학교에서 도망쳐나오는 학생을 목격하고, 이튿날 아침 도망치던 학생과 다른 여학생이 끔찍하게 살해당했다는 소식을 듣는다. 수지는 발레 학교에 적응하려고 애쓰지만 이상한 선생과 학생들, 밤에 기숙사에 울려퍼지는 기이한 소리들 때문에 힘들다. 그 지방 전설로 내려오는 마녀 이야기와 살인 사건이 관련있으리라 추측하던 수지는 자신도 모르는 사이에 흑마술의 표적이 되는데…",2,루카 구아다니노,청소년관람불가,"['다코타 존슨', '틸다 스윈튼', '미아 고스', '클로이 모레츠']",https://image.tmdb.org/t/p/w780//qsQ4eqNWP6oKKiKp8QKyIDf7HLC.jpg,https://image.tmdb.org/t/p/original//i8lyb818XNNGaXiL6qHSxVNodKy.jpg,,6.87
20197147,어글리 돌,2019,2019-05-01,"춤과 노래가 멈추지 않는 행복 마을 ‘어글리 빌’에 사는 사랑둥이 인싸돌 ‘모씨’는 마을 바깥에 어떤 세상이 있을지 늘 궁금해한다. 모씨는 친구 ‘어글리 독’, ‘웨이지’, ‘럭키 뱃’, ‘바보’와 함께 파이프 건너편으로 모험을 떠나기로 결심하고 외모도 성격도 너무 완벽한 ‘퍼펙션 스쿨’의 ‘루’와 ‘맨디‘를 만나 새롭고 짜릿한 세상을 경험한다! 퍼펙션 스쿨에서 최고의 애착 인형이 되기 위한 스파르타 수업에 몰두하던 이들은 인형들의 숨겨진 진실을 마주하고 마는데…",12,캘리 애스버리,전체관람가,"['켈리 클락슨', '닉 조나스', '자넬 모네', '핏불']",https://image.tmdb.org/t/p/w780//wJX6SLX40kMBMf2yk1iXTtqaVTs.jpg,https://image.tmdb.org/t/p/original//93gOZuHazBWulk7b47MCXWVTiqh.jpg,,9.09
